"VGS
References : ['plot_vs(Bidi_4041_T1_G1_Sub_float..IDS, Bidi_4041_T1_G1_Sub_float..VDS)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VDS
References : ['plot_vs(Bidi_4041_T1_G1_Sub_float..IDS, Bidi_4041_T1_G1_Sub_float..VDS)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(Bidi_4041_T1_G1_Sub_float..IDS, Bidi_4041_T1_G1_Sub_float..VDS)
References : []
Dependency : [VGS,VDS]
Num. Points : [9,101]
Matrix Size : scalar
Type : Real"
-9.992,-4.999,-9.855E-5
-9.992,-4.900,0.001
-9.992,-4.815,-0.001
-9.992,-4.683,-0.001
-9.992,-4.591,-0.001
-9.992,-4.508,-0.001
-9.992,-4.396,-4.187E-4
-9.992,-4.303,3.284E-4
-9.992,-4.205,0.001
-9.992,-4.113,0.001
-9.992,-4.024,0.001
-9.992,-3.915,1.149E-4
-9.992,-3.776,-0.001
-9.992,-3.697,-2.053E-4
-9.992,-3.598,2.216E-4
-9.992,-3.497,-9.855E-5
-9.992,-3.400,1.149E-4
-9.992,-3.298,1.683E-4
-9.992,-3.193,0.001
-9.992,-3.113,0.001
-9.992,-3.022,0.001
-9.992,-2.919,0.002
-9.992,-2.820,0.001
-9.992,-2.723,-3.654E-4
-9.992,-2.581,-0.001
-9.992,-2.491,-3.120E-4
-9.992,-2.396,1.683E-4
-9.992,-2.290,0.001
-9.992,-2.202,0.001
-9.992,-2.124,0.001
-9.992,-2.000,-0.001
-9.992,-1.886,-0.001
-9.992,-1.795,-9.855E-5
-9.992,-1.689,2.750E-4
-9.992,-1.606,-4.518E-5
-9.992,-1.490,0.001
-9.992,-1.401,0.001
-9.992,-1.308,3.817E-4
-9.992,-1.206,3.284E-4
-9.992,-1.102,3.284E-4
-9.992,-1.001,2.216E-4
-9.992,-0.905,0.001
-9.992,-0.814,0.001
-9.992,-0.709,0.002
-9.992,-0.617,0.002
-9.992,-0.526,0.001
-9.992,-0.375,-0.001
-9.992,-0.281,-2.053E-4
-9.992,-0.181,-3.120E-4
-9.992,-0.083,-0.001
-9.992,0.011,4.351E-4
-9.992,0.111,0.001
-9.992,0.199,0.001
-9.992,0.296,-9.855E-5
-9.992,0.399,0.001
-9.992,0.497,0.001
-9.992,0.599,0.001
-9.992,0.684,0.002
-9.992,0.788,0.001
-9.992,0.912,-0.001
-9.992,1.034,-0.001
-9.992,1.122,8.179E-6
-9.992,1.217,2.750E-4
-9.992,1.299,0.001
-9.992,1.405,4.351E-4
-9.992,1.496,0.001
-9.992,1.605,-9.855E-5
-9.992,1.699,0.001
-9.992,1.801,0.001
-9.992,1.909,3.284E-4
-9.992,2.012,0.001
-9.992,2.104,0.001
-9.992,2.195,3.817E-4
-9.992,2.307,8.179E-6
-9.992,2.427,-0.001
-9.992,2.492,0.002
-9.992,2.600,0.002
-9.992,2.697,0.001
-9.992,2.798,4.884E-4
-9.992,2.900,0.001
-9.992,3.003,4.351E-4
-9.992,3.108,2.750E-4
-9.992,3.215,-3.120E-4
-9.992,3.315,8.179E-6
-9.992,3.431,-2.586E-4
-9.992,3.505,-0.001
-9.992,3.581,0.001
-9.992,3.677,0.002
-9.992,3.786,0.002
-9.992,3.888,0.001
-9.992,3.996,0.001
-9.992,4.091,0.001
-9.992,4.204,0.001
-9.992,4.292,3.817E-4
-9.992,4.407,3.284E-4
-9.992,4.530,-4.721E-4
-9.992,4.605,-0.001
-9.992,4.676,0.001
-9.992,4.784,0.002
-9.992,4.881,0.002
-9.992,4.977,0.001
-8.992,-5.024,3.284E-4
-8.992,-4.909,-1.519E-4
-8.992,-4.803,-2.586E-4
-8.992,-4.707,-4.721E-4
-8.992,-4.602,-3.654E-4
-8.992,-4.499,-0.001
-8.992,-4.392,-0.001
-8.992,-4.295,-4.721E-4
-8.992,-4.178,-0.001
-8.992,-4.086,-0.001
-8.992,-3.976,-0.001
-8.992,-3.893,-0.001
-8.992,-3.795,-0.001
-8.992,-3.694,-0.001
-8.992,-3.576,-0.001
-8.992,-3.503,-0.001
-8.992,-3.410,-4.187E-4
-8.992,-3.304,-2.053E-4
-8.992,-3.192,-4.721E-4
-8.992,-3.107,6.154E-5
-8.992,-3.010,8.179E-6
-8.992,-2.914,3.817E-4
-8.992,-2.818,0.001
-8.992,-2.722,0.001
-8.992,-2.576,-0.001
-8.992,-2.490,-2.053E-4
-8.992,-2.405,8.179E-6
-8.992,-2.296,0.001
-8.992,-2.223,0.001
-8.992,-2.121,0.001
-8.992,-2.002,-9.855E-5
-8.992,-1.882,-0.001
