"VDS
References : ['plot_vs(Bidi_4041_T1_G1_Sub_float_G2_OFF_TRA..IDS, Bidi_4041_T1_G1_Sub_float_G2_OFF_TRA..VGS)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VGS
References : ['plot_vs(Bidi_4041_T1_G1_Sub_float_G2_OFF_TRA..IDS, Bidi_4041_T1_G1_Sub_float_G2_OFF_TRA..VGS)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","IDS
References : []
Dependency : [VDS,VGS]
Num. Points : [6,101]
Matrix Size : scalar
Type : Real"
1.000,-10.007,0.001
1.000,-9.908,0.001
1.000,-9.808,0.001
1.000,-9.709,0.001
1.000,-9.608,0.001
1.000,-9.508,0.001
1.000,-9.407,0.001
1.000,-9.308,0.001
1.000,-9.208,0.001
1.000,-9.108,0.001
1.000,-9.009,0.001
1.000,-8.907,0.001
1.000,-8.806,0.001
1.000,-8.708,0.001
1.000,-8.608,0.001
1.000,-8.507,0.001
1.000,-8.409,0.001
1.000,-8.307,0.001
1.000,-8.206,0.001
1.000,-8.106,0.001
1.000,-8.008,0.001
1.000,-7.906,0.001
1.000,-7.807,0.001
1.000,-7.706,0.001
1.000,-7.606,0.001
1.000,-7.505,0.001
1.000,-7.407,0.001
1.000,-7.305,0.001
1.000,-7.205,0.001
1.000,-7.105,0.001
1.000,-7.004,0.001
1.000,-6.904,0.001
1.000,-6.805,0.001
1.000,-6.705,0.001
1.000,-6.605,0.001
1.000,-6.504,0.001
1.000,-6.404,0.001
1.000,-6.305,0.001
1.000,-6.204,0.001
1.000,-6.105,0.001
1.000,-6.004,0.001
1.000,-5.904,0.001
1.000,-5.804,0.001
1.000,-5.705,0.001
1.000,-5.604,0.001
1.000,-5.504,0.001
1.000,-5.404,0.001
1.000,-5.303,0.001
1.000,-5.204,0.001
1.000,-5.104,0.001
1.000,-5.004,0.001
1.000,-4.903,0.001
1.000,-4.804,4.533E-4
1.000,-4.703,4.222E-4
1.000,-4.604,2.575E-4
1.000,-4.503,1.329E-4
1.000,-4.403,2.620E-4
1.000,-4.302,3.873E-6
1.000,-4.203,3.873E-6
1.000,-4.103,-9.402E-5
1.000,-4.003,8.323E-6
1.000,-3.903,-8.957E-5
1.000,-3.803,3.947E-5
1.000,-3.702,1.329E-4
1.000,-3.602,3.057E-5
1.000,-3.502,1.151E-4
1.000,-3.401,-5.398E-5
1.000,-3.302,2.612E-5
1.000,-3.201,-1.341E-4
1.000,-3.101,-6.288E-5
1.000,-3.001,-9.476E-6
1.000,-2.901,3.873E-6
1.000,-2.800,-4.063E-5
1.000,-2.701,5.727E-5
1.000,-2.600,-1.207E-4
1.000,-2.500,-5.398E-5
1.000,-2.400,-7.623E-5
1.000,-2.300,-1.838E-5
1.000,-2.200,-6.733E-5
1.000,-2.100,8.397E-5
1.000,-2.000,-5.398E-5
1.000,-1.898,8.842E-5
1.000,-1.799,-2.283E-5
1.000,-1.699,8.323E-6
1.000,-1.600,-1.838E-5
1.000,-1.499,-5.027E-6
1.000,-1.400,-1.652E-4
1.000,-1.298,-3.618E-5
1.000,-1.199,-1.741E-4
1.000,-1.099,-3.173E-5
1.000,-0.999,-8.957E-5
1.000,-0.898,-4.063E-5
1.000,-0.799,-9.847E-5
1.000,-0.697,-8.512E-5
1.000,-0.599,-5.398E-5
1.000,-0.498,-5.398E-5
1.000,-0.399,3.502E-5
1.000,-0.298,-6.733E-5
1.000,-0.198,7.507E-5
1.000,-0.098,-4.508E-5
1.000,0.003,1.018E-4
2.000,-10.008,0.001
2.000,-9.909,0.001
2.000,-9.809,0.001
2.000,-9.708,0.001
2.000,-9.609,0.001
2.000,-9.509,0.001
2.000,-9.408,0.001
2.000,-9.309,0.001
2.000,-9.209,0.001
2.000,-9.107,0.001
2.000,-9.008,0.001
2.000,-8.908,0.001
2.000,-8.807,0.001
2.000,-8.708,0.001
2.000,-8.607,0.001
2.000,-8.507,0.001
2.000,-8.407,0.001
2.000,-8.308,0.001
2.000,-8.208,0.001
2.000,-8.107,0.001
2.000,-8.006,0.001
2.000,-7.907,0.001
2.000,-7.807,0.001
2.000,-7.707,0.001
2.000,-7.607,0.001
2.000,-7.506,0.001
2.000,-7.406,0.001
2.000,-7.306,0.001
2.000,-7.206,0.001
2.000,-7.106,0.001
2.000,-7.006,0.001
2.000,-6.905,0.001
2.000,-6.805,0.001
2.000,-6.705,0.001
2.000,-6.605,0.001
2.000,-6.506,0.001
2.000,-6.405,0.001
2.000,-6.305,0.001
2.000,-6.206,0.001
2.000,-6.103,0.001
2.000,-6.004,0.001
2.000,-5.905,0.001
2.000,-5.804,0.001
2.000,-5.703,0.001
2.000,-5.605,0.001
2.000,-5.502,0.001
2.000,-5.403,0.001
2.000,-5.304,0.001
2.000,-5.203,0.001
2.000,-5.102,0.001
2.000,-5.003,0.001
2.000,-4.903,0.001
2.000,-4.802,0.001
2.000,-4.704,0.001
2.000,-4.603,0.001
2.000,-4.501,0.001
2.000,-4.402,0.001
2.000,-4.304,0.001
2.000,-4.202,0.001
2.000,-4.103,0.002
2.000,-4.002,0.003
2.000,-3.902,0.005
2.000,-3.802,0.006
2.000,-3.704,0.007
2.000,-3.603,0.009
2.000,-3.502,0.010
2.000,-3.401,0.010
2.000,-3.301,0.011
2.000,-3.201,0.011
2.000,-3.102,0.011
2.000,-3.001,0.011
2.000,-2.900,0.011
2.000,-2.800,0.011
2.000,-2.700,0.012
2.000,-2.600,0.012
2.000,-2.500,0.012
2.000,-2.401,0.012
2.000,-2.299,0.012
2.000,-2.199,0.012
2.000,-2.098,0.012
2.000,-2.000,0.012
2.000,-1.898,0.012
2.000,-1.799,0.012
2.000,-1.699,0.012
2.000,-1.598,0.012
