"Vgate
References : ['plot_vs(Output_gs665_actual..Idrain, Output_gs665_actual..Vdrain)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","Vdrain
References : ['plot_vs(Output_gs665_actual..Idrain, Output_gs665_actual..Vdrain)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(Output_gs665_actual..Idrain, Output_gs665_actual..Vdrain)
References : []
Dependency : [Vgate,Vdrain]
Num. Points : [7,501]
Matrix Size : scalar
Type : Real"
1.000,-4.490,-59.407
1.000,-4.556,-59.396
1.000,-4.569,-59.157
1.000,-4.543,-58.623
1.000,-4.517,-58.183
1.000,-4.493,-57.674
1.000,-4.465,-57.163
1.000,-4.460,-56.932
1.000,-4.429,-56.426
1.000,-4.395,-55.809
1.000,-4.371,-55.364
1.000,-4.347,-54.977
1.000,-4.318,-54.449
1.000,-4.312,-54.215
1.000,-4.280,-53.709
1.000,-4.248,-53.217
1.000,-4.219,-52.702
1.000,-4.206,-52.431
1.000,-4.181,-52.054
1.000,-4.154,-51.543
1.000,-4.122,-51.040
1.000,-4.099,-50.607
1.000,-4.065,-50.111
1.000,-4.057,-49.847
1.000,-4.024,-49.428
1.000,-3.996,-48.916
1.000,-3.964,-48.438
1.000,-3.940,-48.013
1.000,-3.912,-47.519
1.000,-3.900,-47.261
1.000,-3.856,-46.653
1.000,-3.846,-46.378
1.000,-3.814,-45.865
1.000,-3.788,-45.495
1.000,-3.756,-45.008
1.000,-3.731,-44.527
1.000,-3.706,-44.154
1.000,-3.681,-43.655
1.000,-3.648,-43.166
1.000,-3.630,-42.827
1.000,-3.601,-42.380
1.000,-3.571,-41.901
1.000,-3.548,-41.463
1.000,-3.518,-40.997
1.000,-3.504,-40.735
1.000,-3.468,-40.182
1.000,-3.439,-39.702
1.000,-3.425,-39.418
1.000,-3.384,-38.850
1.000,-3.369,-38.550
1.000,-3.342,-38.066
1.000,-3.309,-37.583
1.000,-3.284,-37.096
1.000,-3.265,-36.825
1.000,-3.238,-36.416
1.000,-3.212,-35.947
1.000,-3.180,-35.456
1.000,-3.154,-34.934
1.000,-3.124,-34.511
1.000,-3.105,-34.208
1.000,-3.079,-33.736
1.000,-3.050,-33.249
1.000,-3.021,-32.788
1.000,-3.002,-32.455
1.000,-2.971,-31.971
1.000,-2.944,-31.497
1.000,-2.920,-31.142
1.000,-2.896,-30.733
1.000,-2.870,-30.287
1.000,-2.841,-29.810
1.000,-2.820,-29.457
1.000,-2.793,-28.991
1.000,-2.761,-28.480
1.000,-2.739,-28.143
1.000,-2.708,-27.633
1.000,-2.686,-27.294
1.000,-2.660,-26.826
1.000,-2.631,-26.369
1.000,-2.610,-26.008
1.000,-2.580,-25.527
1.000,-2.551,-25.063
1.000,-2.533,-24.769
1.000,-2.503,-24.292
1.000,-2.476,-23.827
1.000,-2.454,-23.466
1.000,-2.423,-22.962
1.000,-2.394,-22.495
1.000,-2.376,-22.205
1.000,-2.344,-21.688
1.000,-2.317,-21.241
1.000,-2.296,-20.913
1.000,-2.263,-20.383
1.000,-2.241,-20.046
1.000,-2.218,-19.652
1.000,-2.184,-19.122
1.000,-2.157,-18.682
1.000,-2.138,-18.404
1.000,-2.106,-17.864
1.000,-2.077,-17.427
1.000,-2.056,-17.102
1.000,-2.022,-16.567
1.000,-1.995,-16.125
1.000,-1.977,-15.850
1.000,-1.946,-15.334
1.000,-1.916,-14.893
1.000,-1.893,-14.560
1.000,-1.860,-14.059
1.000,-1.823,-13.706
1.000,-1.810,-13.348
1.000,-1.778,-12.838
1.000,-1.751,-12.414
1.000,-1.725,-12.060
1.000,-1.694,-11.579
1.000,-1.666,-11.149
1.000,-1.626,-10.739
1.000,-1.609,-10.316
1.000,-1.578,-9.933
1.000,-1.551,-9.492
1.000,-1.519,-9.079
1.000,-1.493,-8.709
1.000,-1.464,-8.293
1.000,-1.432,-7.867
1.000,-1.406,-7.525
1.000,-1.374,-7.125
1.000,-1.343,-6.717
1.000,-1.310,-6.312
1.000,-1.280,-5.918
1.000,-1.246,-5.582
1.000,-1.216,-5.139
1.000,-1.186,-4.794
1.000,-1.153,-4.404
1.000,-1.116,-4.011
1.000,-1.084,-3.652
1.000,-1.053,-3.281
1.000,-1.013,-2.921
1.000,-0.977,-2.619
1.000,-0.936,-2.227
1.000,-0.899,-1.889
1.000,-0.859,-1.611
1.000,-0.814,-1.286
1.000,-0.770,-0.997
1.000,-0.724,-0.724
1.000,-0.671,-0.501
1.000,-0.615,-0.299
1.000,-0.570,-0.194
1.000,-0.471,-0.045
1.000,-0.384,-0.015
1.000,-0.337,-0.029
1.000,-0.197,-0.006
1.000,-0.104,0.001
1.000,-0.054,0.008
1.000,0.101,0.011
1.000,0.196,0.007
1.000,0.289,0.005
1.000,0.384,0.009
1.000,0.482,0.009
1.000,0.574,0.011
1.000,0.677,0.019
1.000,0.773,0.024
1.000,0.863,0.000
1.000,0.967,0.022
1.000,1.064,0.029
1.000,1.158,0.011
1.000,1.261,0.004
1.000,1.355,0.002
1.000,1.451,0.012
1.000,1.549,0.021
1.000,1.647,0.029
1.000,1.747,0.012
1.000,1.845,0.015
1.000,1.943,0.016
1.000,2.046,0.019
1.000,2.141,0.034
1.000,2.240,0.026
1.000,2.338,0.015
1.000,2.437,0.016
1.000,2.536,0.025
1.000,2.636,0.018
1.000,2.736,0.017
1.000,2.834,0.011
1.000,2.935,0.026
1.000,3.033,0.028
1.000,3.135,0.036
1.000,3.233,0.006
1.000,3.334,0.011
1.000,3.432,0.015
1.000,3.534,0.013
