"VDS
References : ['plot_vs(Transfer_lin_meas..IDS, Transfer_lin_meas..VGS)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VGS
References : ['plot_vs(Transfer_lin_meas..IDS, Transfer_lin_meas..VGS)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(Transfer_lin_meas..IDS, Transfer_lin_meas..VGS)
References : []
Dependency : [VDS,VGS]
Num. Points : [3,61]
Matrix Size : scalar
Type : Real"
0.050,0.997,0.007
0.050,1.095,0.018
0.050,1.195,0.026
0.050,1.293,-0.018
0.050,1.394,0.032
0.050,1.495,-0.017
0.050,1.593,0.150
0.050,1.693,0.245
0.050,1.793,0.346
0.050,1.891,0.334
0.050,1.991,0.494
0.050,2.090,0.511
0.050,2.191,0.647
0.050,2.290,0.659
0.050,2.389,0.611
0.050,2.488,0.735
0.050,2.589,0.678
0.050,2.687,0.810
0.050,2.788,0.705
0.050,2.886,0.725
0.050,2.988,0.858
0.050,3.086,0.848
0.050,3.186,0.874
0.050,3.285,0.868
0.050,3.384,0.889
0.050,3.486,0.914
0.050,3.584,0.910
0.050,3.685,0.885
0.050,3.783,0.940
0.050,3.882,0.910
0.050,3.984,0.867
0.050,4.080,0.853
0.050,4.183,1.005
0.050,4.281,0.980
0.050,4.380,0.882
0.050,4.481,0.958
0.050,4.577,0.925
0.050,4.679,0.961
0.050,4.780,0.939
0.050,4.880,1.013
0.050,4.980,0.938
0.050,5.072,0.931
0.050,5.169,0.999
0.050,5.272,0.992
0.050,5.370,0.903
0.050,5.471,1.036
0.050,5.567,0.936
0.050,5.668,0.912
0.050,5.765,1.008
0.050,5.863,0.943
0.050,5.963,0.998
0.050,6.062,0.960
0.050,6.161,0.947
0.050,6.262,0.979
0.050,6.357,0.920
0.050,6.458,0.922
0.050,6.557,1.100
0.050,6.654,0.907
0.050,6.753,0.958
0.050,6.852,1.000
0.050,6.951,1.003
0.075,0.995,0.005
0.075,1.094,0.017
0.075,1.195,-0.019
0.075,1.293,-0.003
0.075,1.393,0.017
0.075,1.493,0.051
0.075,1.594,0.019
0.075,1.694,0.131
0.075,1.792,0.304
0.075,1.891,0.511
0.075,1.992,0.634
0.075,2.091,0.730
0.075,2.188,0.871
0.075,2.289,0.965
0.075,2.390,1.028
0.075,2.489,1.143
0.075,2.589,1.105
0.075,2.688,1.265
0.075,2.790,1.196
0.075,2.886,1.320
0.075,2.988,1.270
0.075,3.086,1.255
0.075,3.185,1.353
0.075,3.285,1.338
0.075,3.385,1.330
0.075,3.485,1.399
0.075,3.583,1.396
0.075,3.686,1.385
0.075,3.783,1.448
0.075,3.884,1.403
0.075,3.984,1.396
0.075,4.082,1.457
0.075,4.181,1.387
0.075,4.280,1.503
0.075,4.381,1.362
0.075,4.484,1.532
0.075,4.582,1.458
0.075,4.683,1.470
0.075,4.779,1.409
0.075,4.881,1.472
0.075,4.978,1.415
0.075,5.077,1.516
0.075,5.173,1.450
0.075,5.272,1.439
0.075,5.371,1.472
0.075,5.467,1.464
0.075,5.565,1.573
0.075,5.669,1.518
0.075,5.765,1.512
0.075,5.863,1.555
0.075,5.963,1.488
0.075,6.059,1.510
0.075,6.160,1.444
0.075,6.260,1.536
0.075,6.358,1.532
0.075,6.458,1.458
0.075,6.558,1.368
0.075,6.656,1.514
0.075,6.756,1.388
0.075,6.855,1.477
0.075,6.949,1.515
0.100,0.995,-0.017
0.100,1.095,0.031
0.100,1.195,-0.026
0.100,1.293,-0.028
0.100,1.394,0.021
0.100,1.493,-0.018
0.100,1.593,0.027
0.100,1.692,0.161
0.100,1.793,0.338
0.100,1.890,0.581
0.100,1.992,0.787
0.100,2.091,0.977
0.100,2.192,1.146
0.100,2.289,1.167
0.100,2.389,1.395
0.100,2.489,1.507
0.100,2.588,1.493
0.100,2.688,1.473
0.100,2.789,1.518
0.100,2.887,1.637
0.100,2.988,1.741
0.100,3.087,1.728
0.100,3.185,1.720
0.100,3.286,1.780
0.100,3.386,1.844
0.100,3.486,1.861
0.100,3.585,1.942
0.100,3.682,1.839
0.100,3.781,1.894
0.100,3.885,1.869
0.100,3.981,1.857
0.100,4.082,1.873
0.100,4.182,1.923
0.100,4.280,1.948
0.100,4.378,1.940
0.100,4.479,2.036
0.100,4.584,2.023
0.100,4.679,2.071
0.100,4.776,2.051
0.100,4.881,1.964
0.100,4.978,2.000
0.100,5.076,2.038
0.100,5.173,2.017
0.100,5.269,1.939
0.100,5.373,1.950
0.100,5.469,1.966
0.100,5.564,2.090
0.100,5.666,1.982
0.100,5.766,2.003
0.100,5.864,2.091
0.100,5.960,1.916
0.100,6.062,2.011
0.100,6.161,1.997
0.100,6.258,2.062
0.100,6.358,2.045
0.100,6.457,2.035
0.100,6.554,2.159
0.100,6.654,1.977
0.100,6.753,1.920
0.100,6.850,2.124
0.100,6.949,2.064
