"VDS
References : ['plot_vs(Transfer_gs665_actual..IDS, Transfer_gs665_actual..VGS)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VGS
References : ['plot_vs(Transfer_gs665_actual..IDS, Transfer_gs665_actual..VGS)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(Transfer_gs665_actual..IDS, Transfer_gs665_actual..VGS)
References : []
Dependency : [VDS,VGS]
Num. Points : [10,71]
Matrix Size : scalar
Type : Real"
1.000,1.070E-4,0.054
1.000,0.102,0.015
1.000,0.199,0.074
1.000,0.298,0.007
1.000,0.399,0.058
1.000,0.498,0.036
1.000,0.597,0.010
1.000,0.697,0.033
1.000,0.797,0.028
1.000,0.895,-0.009
1.000,0.996,0.035
1.000,1.095,0.063
1.000,1.196,0.033
1.000,1.293,0.038
1.000,1.393,0.012
1.000,1.494,0.120
1.000,1.593,0.217
1.000,1.692,0.527
1.000,1.793,1.018
1.000,1.890,1.632
1.000,1.991,2.481
1.000,2.092,3.418
1.000,2.189,4.507
1.000,2.288,5.649
1.000,2.390,6.875
1.000,2.488,8.284
1.000,2.587,9.655
1.000,2.688,11.048
1.000,2.789,12.418
1.000,2.886,13.523
1.000,2.988,14.572
1.000,3.086,15.387
1.000,3.186,16.017
1.000,3.287,16.541
1.000,3.387,17.019
1.000,3.485,17.341
1.000,3.585,17.688
1.000,3.685,17.837
1.000,3.785,18.181
1.000,3.882,18.334
1.000,3.984,18.431
1.000,4.081,18.665
1.000,4.180,18.656
1.000,4.279,18.874
1.000,4.381,18.889
1.000,4.484,19.015
1.000,4.578,19.041
1.000,4.683,19.124
1.000,4.778,19.291
1.000,4.878,19.355
1.000,4.981,19.355
1.000,5.080,19.456
1.000,5.176,19.508
1.000,5.277,19.512
1.000,5.378,19.540
1.000,5.477,19.578
1.000,5.577,19.733
1.000,5.675,19.721
1.000,5.778,19.820
1.000,5.876,19.875
1.000,5.977,19.863
1.000,6.074,19.928
1.000,6.172,19.965
1.000,6.274,19.947
1.000,6.371,19.916
1.000,6.472,19.977
1.000,6.572,20.035
1.000,6.671,20.021
1.000,6.771,20.102
1.000,6.870,20.086
1.000,6.968,20.166
2.000,-0.001,0.034
2.000,0.100,0.025
2.000,0.201,0.033
2.000,0.298,-0.015
2.000,0.399,-0.006
2.000,0.497,0.008
2.000,0.597,0.029
2.000,0.697,-0.015
2.000,0.797,0.033
2.000,0.896,0.038
2.000,0.996,0.032
2.000,1.095,-0.005
2.000,1.195,0.054
2.000,1.294,0.022
2.000,1.394,0.011
2.000,1.494,0.118
2.000,1.594,0.209
2.000,1.692,0.568
2.000,1.793,1.155
2.000,1.890,1.897
2.000,1.993,2.887
2.000,2.091,3.978
2.000,2.191,5.293
2.000,2.291,6.689
2.000,2.391,8.191
2.000,2.489,9.815
2.000,2.588,11.508
2.000,2.688,13.284
2.000,2.789,15.139
2.000,2.886,17.084
2.000,2.988,18.973
2.000,3.086,21.004
2.000,3.188,23.114
2.000,3.287,25.165
2.000,3.387,27.168
2.000,3.484,29.099
2.000,3.585,30.730
2.000,3.684,31.959
2.000,3.785,33.067
2.000,3.883,33.796
2.000,3.981,34.469
2.000,4.080,34.904
2.000,4.183,35.297
2.000,4.281,35.648
2.000,4.378,35.855
2.000,4.478,36.264
2.000,4.578,36.356
2.000,4.681,36.581
2.000,4.778,36.827
2.000,4.879,37.022
2.000,4.976,37.165
2.000,5.081,37.399
2.000,5.173,37.485
2.000,5.279,37.608
2.000,5.381,37.831
2.000,5.475,37.925
2.000,5.575,38.014
2.000,5.672,38.057
2.000,5.776,38.218
2.000,5.872,38.340
2.000,5.973,38.436
2.000,6.073,38.434
2.000,6.173,38.426
2.000,6.272,38.731
2.000,6.371,38.803
2.000,6.472,38.844
2.000,6.570,38.943
2.000,6.671,39.020
2.000,6.770,39.074
2.000,6.873,39.084
2.000,6.968,39.154
3.000,0.002,0.024
3.000,0.101,0.006
3.000,0.199,0.042
3.000,0.299,0.024
3.000,0.397,0.032
3.000,0.498,0.035
3.000,0.597,0.002
3.000,0.697,-0.005
3.000,0.797,0.007
3.000,0.896,0.011
3.000,0.996,0.040
3.000,1.095,0.019
3.000,1.195,0.038
3.000,1.293,0.057
3.000,1.394,0.059
3.000,1.495,0.136
3.000,1.593,0.435
3.000,1.693,0.930
3.000,1.793,1.623
3.000,1.891,2.611
3.000,1.992,3.720
3.000,2.091,5.006
3.000,2.192,6.481
3.000,2.289,8.063
3.000,2.390,9.707
3.000,2.490,11.438
3.000,2.589,13.274
3.000,2.690,15.252
3.000,2.788,17.159
3.000,2.888,19.297
3.000,2.986,21.459
3.000,3.087,23.641
3.000,3.185,26.014
3.000,3.285,28.300
3.000,3.386,30.628
3.000,3.485,33.041
3.000,3.585,35.356
3.000,3.684,37.469
3.000,3.783,39.355
3.000,3.883,41.112
3.000,3.985,42.709
3.000,4.078,44.179
3.000,4.179,45.494
3.000,4.283,46.742
3.000,4.383,47.880
3.000,4.479,48.822
3.000,4.578,49.678
3.000,4.681,50.370
3.000,4.781,50.904
3.000,4.879,51.477
3.000,4.980,51.961
3.000,5.082,52.391
3.000,5.177,52.700
3.000,5.279,53.050
3.000,5.380,53.260
3.000,5.481,53.502
3.000,5.573,53.730
3.000,5.674,53.968
3.000,5.774,54.258
3.000,5.873,54.455
3.000,5.973,54.614
3.000,6.075,54.821
3.000,6.175,55.014
3.000,6.273,55.056
3.000,6.372,55.279
3.000,6.473,55.392
3.000,6.571,55.617
3.000,6.672,55.658
3.000,6.772,55.894
3.000,6.871,55.918
3.000,6.970,56.057
4.000,-0.001,0.027
4.000,0.101,0.053
4.000,0.199,-0.016
4.000,0.299,0.071
4.000,0.398,0.004
4.000,0.497,0.028
4.000,0.597,0.041
4.000,0.697,0.029
4.000,0.796,-0.011
4.000,0.895,0.035
4.000,0.996,0.010
4.000,1.095,0.069
4.000,1.196,0.024
4.000,1.293,0.090
4.000,1.393,0.116
4.000,1.493,0.241
4.000,1.593,0.676
4.000,1.692,1.321
4.000,1.792,2.175
4.000,1.890,3.301
4.000,1.992,4.601
4.000,2.090,6.003
4.000,2.192,7.572
4.000,2.290,9.291
4.000,2.388,11.108
4.000,2.489,12.855
4.000,2.588,14.875
4.000,2.689,16.851
4.000,2.787,18.939
4.000,2.887,21.099
4.000,2.985,23.418
4.000,3.084,25.738
4.000,3.186,28.100
4.000,3.287,30.588
4.000,3.387,33.114
4.000,3.485,35.608
4.000,3.584,38.015
4.000,3.682,40.257
4.000,3.784,42.309
4.000,3.883,44.355
4.000,3.984,46.055
4.000,4.079,47.854
4.000,4.182,49.513
4.000,4.282,51.014
4.000,4.378,52.547
4.000,4.480,54.011
4.000,4.583,55.468
4.000,4.679,56.724
4.000,4.779,58.121
4.000,4.878,59.309
4.000,4.979,60.495
4.000,5.076,61.624
4.000,5.181,62.635
4.000,5.274,63.526
4.000,5.379,64.403
4.000,5.470,65.104
4.000,5.577,65.811
4.000,5.677,66.326
4.000,5.776,66.871
4.000,5.875,67.238
4.000,5.974,67.635
4.000,6.075,67.969
4.000,6.174,68.353
4.000,6.271,68.703
4.000,6.375,68.996
4.000,6.472,69.293
4.000,6.571,69.520
4.000,6.671,69.732
4.000,6.770,70.026
4.000,6.870,70.156
4.000,6.971,70.373
5.000,0.002,-0.001
5.000,0.099,0.020
5.000,0.200,0.039
5.000,0.299,0.000
5.000,0.398,0.049
5.000,0.498,0.027
5.000,0.596,0.029
5.000,0.697,0.038
5.000,0.797,0.050
5.000,0.896,0.019
5.000,0.995,0.003
5.000,1.095,-0.018
5.000,1.196,-0.026
5.000,1.294,0.030
5.000,1.394,0.170
5.000,1.494,0.432
5.000,1.594,0.887
5.000,1.692,1.661
5.000,1.792,2.707
5.000,1.891,3.937
5.000,1.992,5.339
5.000,2.091,6.918
5.000,2.190,8.510
5.000,2.292,10.350
5.000,2.390,12.231
5.000,2.488,14.169
5.000,2.588,16.169
5.000,2.689,18.214
5.000,2.788,20.368
5.000,2.887,22.602
5.000,2.987,24.922
5.000,3.086,27.363
5.000,3.186,29.876
5.000,3.287,32.341
5.000,3.386,34.935
5.000,3.482,37.451
5.000,3.584,39.959
5.000,3.685,42.389
5.000,3.786,44.577
5.000,3.884,46.566
5.000,3.983,48.448
5.000,4.081,50.290
5.000,4.185,52.045
5.000,4.285,53.708
5.000,4.381,55.301
5.000,4.481,56.839
5.000,4.581,58.361
5.000,4.680,59.938
5.000,4.785,61.420
5.000,4.880,62.886
5.000,4.983,64.237
5.000,5.079,65.397
5.000,5.175,66.801
5.000,5.278,68.013
5.000,5.375,69.276
5.000,5.474,70.461
5.000,5.576,71.632
5.000,5.677,72.763
5.000,5.774,73.826
5.000,5.877,74.892
5.000,5.973,75.956
5.000,6.074,76.918
5.000,6.173,77.815
5.000,6.272,78.555
5.000,6.373,79.222
5.000,6.471,79.813
5.000,6.574,80.421
5.000,6.670,80.913
5.000,6.771,81.256
5.000,6.869,81.658
5.000,6.970,82.046
6.000,-0.001,0.049
6.000,0.098,0.048
6.000,0.198,0.053
6.000,0.299,0.046
6.000,0.398,0.002
6.000,0.498,0.025
6.000,0.597,0.000
6.000,0.697,0.030
6.000,0.796,0.023
6.000,0.896,0.021
6.000,0.996,0.007
6.000,1.094,0.055
6.000,1.195,0.056
6.000,1.292,0.069
6.000,1.394,0.280
6.000,1.495,0.620
6.000,1.592,1.261
6.000,1.691,2.129
6.000,1.793,3.253
6.000,1.891,4.652
6.000,1.992,6.152
6.000,2.091,7.725
6.000,2.189,9.535
6.000,2.289,11.390
6.000,2.389,13.358
6.000,2.488,15.306
6.000,2.588,17.416
6.000,2.688,19.543
6.000,2.789,21.744
6.000,2.887,24.023
6.000,2.988,26.488
6.000,3.088,28.823
6.000,3.186,31.357
6.000,3.285,33.843
6.000,3.384,36.432
6.000,3.484,39.019
6.000,3.583,41.566
6.000,3.683,43.916
6.000,3.784,46.123
6.000,3.881,48.214
6.000,3.983,50.167
6.000,4.082,52.040
6.000,4.180,53.810
6.000,4.279,55.520
6.000,4.380,57.184
6.000,4.480,58.813
6.000,4.583,60.535
6.000,4.680,62.156
6.000,4.782,63.635
6.000,4.879,65.134
6.000,4.979,66.664
6.000,5.078,68.026
6.000,5.176,69.409
6.000,5.275,70.716
6.000,5.377,72.112
6.000,5.475,73.406
6.000,5.576,74.677
6.000,5.675,75.884
6.000,5.773,77.084
6.000,5.875,78.344
6.000,5.973,79.587
6.000,6.073,80.795
6.000,6.175,82.033
6.000,6.271,83.235
6.000,6.371,84.442
6.000,6.470,85.529
6.000,6.572,86.718
6.000,6.672,87.819
6.000,6.773,88.791
6.000,6.869,89.725
6.000,6.969,90.502
7.000,0.001,0.001
7.000,0.102,0.051
7.000,0.201,0.002
7.000,0.299,0.009
7.000,0.399,-0.019
7.000,0.498,-0.010
7.000,0.598,-0.038
7.000,0.697,-0.041
7.000,0.797,0.059
7.000,0.896,0.070
7.000,0.995,0.061
7.000,1.095,0.038
7.000,1.196,0.085
7.000,1.294,0.131
7.000,1.393,0.350
7.000,1.493,0.794
7.000,1.594,1.569
7.000,1.691,2.583
7.000,1.793,3.777
7.000,1.890,5.247
7.000,1.992,6.818
7.000,2.090,8.493
7.000,2.189,10.324
7.000,2.290,12.290
7.000,2.390,14.274
7.000,2.489,16.263
7.000,2.587,18.285
7.000,2.689,20.480
7.000,2.787,22.686
7.000,2.887,25.028
7.000,2.986,27.508
7.000,3.086,29.945
7.000,3.186,32.418
7.000,3.287,34.923
7.000,3.386,37.661
7.000,3.486,40.294
7.000,3.584,42.769
7.000,3.683,45.199
7.000,3.784,47.383
7.000,3.883,49.441
7.000,3.984,51.381
7.000,4.083,53.294
7.000,4.183,55.184
7.000,4.280,56.819
7.000,4.379,58.561
7.000,4.482,60.261
7.000,4.582,61.893
7.000,4.681,63.529
7.000,4.777,65.090
7.000,4.881,66.697
7.000,4.980,68.248
7.000,5.078,69.707
7.000,5.178,71.162
7.000,5.277,72.572
7.000,5.374,73.896
7.000,5.480,75.255
7.000,5.576,76.629
7.000,5.674,77.912
7.000,5.772,79.194
7.000,5.877,80.517
7.000,5.976,81.714
7.000,6.072,83.088
7.000,6.175,84.344
7.000,6.271,85.722
7.000,6.375,87.004
7.000,6.472,88.339
7.000,6.572,89.629
7.000,6.671,90.967
7.000,6.772,92.252
7.000,6.872,93.559
7.000,6.969,94.814
8.000,-0.001,-0.014
8.000,0.100,0.037
8.000,0.197,0.021
8.000,0.299,0.028
8.000,0.399,-0.032
8.000,0.498,0.040
8.000,0.597,0.043
8.000,0.698,0.059
8.000,0.797,0.015
8.000,0.897,0.013
8.000,0.995,-0.004
8.000,1.095,0.011
8.000,1.195,0.067
8.000,1.294,0.128
8.000,1.394,0.470
8.000,1.494,0.965
8.000,1.593,1.804
8.000,1.691,2.862
8.000,1.793,4.130
8.000,1.890,5.635
8.000,1.991,7.336
8.000,2.093,9.140
8.000,2.190,10.938
8.000,2.290,13.001
8.000,2.390,15.014
8.000,2.490,17.077
8.000,2.587,19.230
8.000,2.688,21.377
8.000,2.788,23.613
8.000,2.887,25.985
8.000,2.986,28.370
8.000,3.087,30.744
8.000,3.187,33.248
8.000,3.287,35.928
8.000,3.386,38.477
8.000,3.483,41.096
8.000,3.583,43.581
8.000,3.687,46.093
8.000,3.784,48.252
8.000,3.884,50.400
8.000,3.985,52.348
8.000,4.082,54.221
8.000,4.183,55.944
8.000,4.280,57.764
8.000,4.382,59.548
8.000,4.479,61.154
8.000,4.582,62.906
8.000,4.678,64.576
8.000,4.779,66.114
8.000,4.880,67.742
8.000,4.978,69.249
8.000,5.077,70.784
8.000,5.179,72.223
8.000,5.277,73.710
8.000,5.380,75.046
8.000,5.476,76.428
8.000,5.574,77.740
8.000,5.681,79.144
8.000,5.776,80.532
8.000,5.875,81.869
8.000,5.977,83.084
8.000,6.074,84.550
8.000,6.174,85.754
8.000,6.274,87.082
8.000,6.372,88.323
8.000,6.470,89.860
8.000,6.572,91.176
8.000,6.670,92.621
8.000,6.772,93.962
8.000,6.868,95.344
8.000,6.968,96.846
9.000,-0.001,-0.029
9.000,0.098,-0.011
9.000,0.200,0.018
9.000,0.298,0.055
9.000,0.398,0.054
9.000,0.497,0.097
9.000,0.597,-0.030
9.000,0.697,0.044
9.000,0.797,0.062
9.000,0.895,-0.006
9.000,0.997,0.063
9.000,1.095,0.040
9.000,1.196,0.085
9.000,1.293,0.207
9.000,1.394,0.546
9.000,1.494,1.089
9.000,1.593,1.994
9.000,1.692,3.200
9.000,1.793,4.572
9.000,1.890,6.079
9.000,1.992,7.750
9.000,2.090,9.614
9.000,2.191,11.502
9.000,2.291,13.422
9.000,2.390,15.508
9.000,2.489,17.622
9.000,2.589,19.820
9.000,2.690,21.973
9.000,2.786,24.230
9.000,2.887,26.462
9.000,2.988,28.861
9.000,3.088,31.218
9.000,3.185,33.707
9.000,3.284,36.417
9.000,3.383,39.164
9.000,3.483,41.615
9.000,3.585,44.127
9.000,3.684,46.557
9.000,3.786,48.754
9.000,3.883,50.940
9.000,3.981,52.813
9.000,4.082,54.696
9.000,4.182,56.505
9.000,4.281,58.197
9.000,4.378,60.019
9.000,4.478,61.755
9.000,4.582,63.416
9.000,4.680,65.126
9.000,4.779,66.678
9.000,4.882,68.264
9.000,4.980,69.897
9.000,5.076,71.350
9.000,5.180,72.861
9.000,5.281,74.252
9.000,5.375,75.712
9.000,5.476,77.129
9.000,5.574,78.556
9.000,5.678,79.825
9.000,5.774,81.147
9.000,5.873,82.498
9.000,5.975,83.813
9.000,6.076,85.143
9.000,6.170,86.454
9.000,6.272,87.750
9.000,6.371,89.130
9.000,6.470,90.491
9.000,6.571,91.894
9.000,6.669,93.350
9.000,6.767,94.657
9.000,6.872,96.107
9.000,6.968,97.627
10.000,-0.001,-0.025
10.000,0.099,-0.027
10.000,0.200,0.025
10.000,0.299,0.032
10.000,0.398,0.079
10.000,0.498,-0.035
10.000,0.597,-0.053
10.000,0.696,-0.003
10.000,0.797,0.054
10.000,0.896,-0.009
10.000,0.995,0.068
10.000,1.094,0.035
10.000,1.196,0.119
10.000,1.294,0.282
10.000,1.394,0.613
10.000,1.494,1.375
10.000,1.594,2.267
10.000,1.693,3.488
10.000,1.793,4.918
10.000,1.889,6.494
10.000,1.992,8.226
10.000,2.090,10.062
10.000,2.191,11.998
10.000,2.287,13.943
10.000,2.391,16.002
10.000,2.490,18.176
10.000,2.588,20.350
10.000,2.688,22.509
10.000,2.788,24.674
10.000,2.886,27.072
10.000,2.988,29.323
10.000,3.088,31.806
10.000,3.187,34.336
10.000,3.287,36.895
10.000,3.388,39.382
10.000,3.483,42.049
10.000,3.585,44.495
10.000,3.684,46.833
10.000,3.783,49.007
10.000,3.883,51.144
10.000,3.984,53.055
10.000,4.080,54.908
10.000,4.182,56.651
10.000,4.281,58.486
10.000,4.384,60.213
10.000,4.479,61.974
10.000,4.580,63.593
10.000,4.680,65.329
10.000,4.778,66.902
10.000,4.878,68.579
10.000,4.978,70.117
10.000,5.079,71.648
10.000,5.178,73.134
10.000,5.276,74.555
10.000,5.376,75.964
10.000,5.477,77.281
10.000,5.575,78.718
10.000,5.674,80.032
10.000,5.770,81.290
10.000,5.872,82.659
10.000,5.977,83.946
10.000,6.074,85.247
10.000,6.173,86.629
10.000,6.272,87.844
10.000,6.370,89.139
10.000,6.472,90.546
10.000,6.571,91.838
10.000,6.671,93.236
10.000,6.769,94.651
10.000,6.868,96.173
10.000,6.969,97.443
